id	date_rel	likes	comments	views	title
amNAZ54XI3753Qr_	1 день назад	59	229	778	Лицемерная помощь
amBnHgYXimDklPQ2	3 дня назад	373	352	55,5 тыс	Этикет дачных подарков: что привозить в гости, а что считается дурным тоном
al8raagD2mhnylLg	4 дня назад	75	92	1193	Искусство быть петербуржцем
al3L8m2OmVwkkSDE	5 дней назад	11	8	282	Светская жизнь Петербурга: 20-26 июля
aloT6o2KvArIhQNY	1 неделя назад	77	66	2130	Дачный этикет детей: что родители должны объяснить еще до поездки за город
alc1KXzQxXyhR2kf	1 неделя назад	49	80	557	Этикет общения в мессенджерах
alXz8gd_3DMZ3Z5F	1 неделя назад	3743	2144	586,9 тыс	Как вежливо отказать соседу на даче
alStVNyHwzXz0_Mx	1 неделя назад	21	7	493	Светская жизнь Петербурга: 13-19 июля
akzpqyOv53kXCcMd	2 недели назад	79	106	1399	Нормально ли не любить театр?
akzo6V5yujEl94r3	2 недели назад	57	109	1166	Как элегантно раздеться в городе, чтобы позагорать
akzH0rq5zUfOVd3c	2 недели назад	1452	735	106,8 тыс	Можно ли не дружить с соседями
akrcnys2uClQeWoE	2 недели назад	28	23	658	Светская жизнь Петербурга: 6-12 июля
akbfmF7CZx2XCt3P	3 недели назад	162	115	3836	«Сорри за войс» - этикет в мессенджерах
akQE2xf3rEh7oQZE	3 недели назад	4810	1825	1,26 млн	Когда супруга перестает быть женой
akLcQYv8FxUpa0Go	3 недели назад	93	47	4449	Дачные долги или шуруповерт «до завтра»
akGRj0fTz2tItGBd	3 недели назад	24	28	520	Светская жизнь Петербурга: 29 июня – 5 июля
akDu5TCGXEapFeJr	3 недели назад	88	48	1904	Этикет за самоваром: чему нас до сих пор учат Маковские
aj2meNm1f22KkiBP	4 недели назад	35	72	515	Как не потерять лицо в битве за борщевик (и любые джунгли)
ajuUZKoxTFgOL9Gx	1 месяц назад	100	82	2812	Истерика в ресторане – это манипуляция или глупость?
ajpk-K0krnWGH5gb	1 месяц назад	724	702	110,1 тыс	Кто оплачивает пикник?
ajjyBmZb9gcrtplw	1 месяц назад	29	22	2085	Светская жизнь Петербурга: 22-28 июня
ajT90V6_NRnsn0wB	1 месяц назад	120	88	2097	Нужно ли извиняться, если ты прав
ajJipQuleHEBRE-p	1 месяц назад	168	170	5405	Этикет в автобусе
ajEK4pcBHkuU0IEi	1 месяц назад	112	100	1730	Дачный этикет умер?
ai-foDL8mQ8zbOCb	1 месяц назад	19	77	595	Светская жизнь Петербурга: 15-21 июня
aiqLc0A_4S9Ls_MJ	1 месяц назад	138	213	2047	Нормально ли не любить классику
aiqK5GUUUVl564Rk	1 месяц назад	1430	752	103,3 тыс	5 вещей на даче, которые воспитанные люди никогда не делают
aip_6DL8mQ8z9HJU	1 месяц назад	1653	646	115 тыс	Ошибки, которые сразу выдают человека не из светской среды
aikMe8J06Vr6R2xU	1 месяц назад	108	87	1295	Можно ли плакать на публике?
aifKwEUFUUAtJkMq	1 месяц назад	1675	535	121,5 тыс	Новый ресторанный этикет: что уже считается дурным тоном
aiaG4T6een5n4T7m	1 месяц назад	20	47	1674	Светская жизнь Петербурга: 8-14 июня
aiH7A_BguAKNkCw3	1 месяц назад	67	141	1111	Как одеться элегантно по этикету
aiH6RdvRtlpzMuiD	1 месяц назад	500	92	27,6 тыс	Как задавать вопросы, чтобы с вами хотели продолжать разговор
aiFaAqHaDiuGVQF1	1 месяц назад	481	806	163,5 тыс	Соседи против шашлычников
ah4L4t5zYCQcM4Fh	1 месяц назад	59	62	640	Почему я перечитываю «Евгения Онегина» во взрослом возрасте
ah4M1bVbc0I9S3vH	1 месяц назад	126	144	9770	«Письмо матери» Есенина: стихотворение, которое учит самому сложному
ah4MXqLCa2yf6k-7	1 месяц назад	24	20	378	Русский императив: выставка, о которой все говорят
ah02ElYv2THXYTqz	1 месяц назад	116	22	907	Светская жизнь Петербурга: 1-7 июня
ahiqmYYhXg2e11n3	1 месяц назад	35	27	392	Святой Пантелеймон
