id;дата;час;заголовок;ссылка;показы;открытия;дочитывания;минуты;лайки;комментарии;подписки;CTR;дочитываемость;лайки_на_дочит;комм_на_дочит;подписки_на_дочит;сцена;функция;порог_входа;фокус;объект_осуждения;цифра_в_заголовке;негативная_рамка;вопрос;обращение_вы;конкретный_якорь;спорность;серийная_рубрика;уверенность_разметки
A622;2023-03-28;12;Моя удачная борьба со стрессом;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/64229198c9b8b77e077b9be0;10922;215;154;10;25;2;1;0.0197;0.7163;0.1623;0.013;0.0065;прочее;познавательное;бытовая;нейтрально;нет;0;0;0;0;0;0;0;низкая
A621;2023-04-04;17;Сервировка стола;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/642bf9d9a867c062828e1b44;371572;22787;13180;7251;1029;82;210;0.0613;0.5784;0.0781;0.0062;0.0159;стол_еда;польза;бытовая;нейтрально;нет;0;0;0;0;0;0;0;высокая
A620;2023-04-22;11;Этот лайфхак столового этикета всегда в ваших руках;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/64439ac06195f63c2e8f23f8;40126;1754;1205;495;183;3;13;0.0437;0.687;0.1519;0.0025;0.0108;стол_еда;польза;бытовая;читатель;нет;0;0;0;1;0;0;0;высокая
A619;2023-05-27;17;Формальный и неформальный деловой дресс-код;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/647202eb0686372682c08f10;219296;9471;5271;5471;164;15;37;0.0432;0.5565;0.0311;0.0028;0.007;внешний_вид;польза;бытовая;читатель;нет;0;0;0;0;1;0;0;высокая
A618;2023-08-09;15;Этикет: ваш личный компас;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/64d26e412f59ab3263fedea4;12515;451;288;315;77;3;5;0.036;0.6386;0.2674;0.0104;0.0174;прочее;разъяснение_нормы;бытовая;читатель;нет;0;0;0;1;0;0;0;низкая
A617;2023-08-10;11;Страх или безответственность?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/64d36eaac09280390d1dbe7b;199045;11970;5406;6001;281;21;33;0.0601;0.4516;0.052;0.0039;0.0061;прочее;разбор_чужого_поведения;бытовая;третьи_лица;нет;0;1;1;0;0;0;0;низкая
A616;2023-08-16;13;Управление стрессом на рабочем месте: практические советы;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/64dc7b0a5d7a31683f99e2f3;132789;4838;2057;2047;118;5;18;0.0364;0.4252;0.0574;0.0024;0.0088;работа;польза;бытовая;читатель;нет;0;0;0;0;1;0;0;высокая
A615;2023-08-19;12;Этикет в музее: Путеводитель по уважительному взаимодействию с искусством;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/64e08d9da5f0c931a9263d04;19075;709;379;347;98;16;4;0.0372;0.5346;0.2586;0.0422;0.0106;публичные_места_транспорт;польза;бытовая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A614;2023-10-10;16;Шпаргалка: Как ответить на вакансию и произвести впечатление;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65251755c095b8411ac6763a;279905;11292;4480;6461;122;32;83;0.0403;0.3967;0.0272;0.0071;0.0185;работа;польза;бытовая;читатель;нет;0;0;0;0;1;0;0;высокая
A613;2023-10-12;17;Эмоциональное равновесие: как справляться с грубостью и сохранять спокойствие;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/6527d7f342b2122b751f0da0;761072;21093;8935;5393;334;75;56;0.0277;0.4236;0.0374;0.0084;0.0063;отношения_общение;польза;бытовая;читатель;нет;0;1;0;0;1;0;0;высокая
A612;2023-10-14;19;Как правильно сидеть даме по этикету: 3 лучших варианта;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/652aa96b5a70464fa106de4e;1359452;91932;68014;47005;2202;150;243;0.0676;0.7398;0.0324;0.0022;0.0036;внешний_вид;польза;бытовая;читатель;нет;1;0;0;0;1;0;0;высокая
A610;2023-10-16;22;Этикет под зонтом;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/652d8e648365541c39aaf587;86586;5435;3364;3118;167;15;14;0.0628;0.619;0.0496;0.0045;0.0042;публичные_места_транспорт;польза;бытовая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A611;2023-10-16;20;Этикет под зонтом;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/652d6ac68365541c395aec7f;0;0;0;4;0;0;0;;;;;;публичные_места_транспорт;польза;бытовая;читатель;нет;0;0;0;0;1;0;0;высокая
A609;2023-10-17;19;Интервью с педагогом из города Ростов-на-Дону о школьном этикете;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/652eab126bbf9502d078f6f3;152171;7857;2974;1955;55;12;16;0.0516;0.3785;0.0185;0.004;0.0054;прочее;познавательное;узкая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A608;2023-10-18;20;Как подготовиться к интервью;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/653004280966b827aab9dd12;11383;185;74;139;14;0;0;0.0163;0.4;;;;работа;польза;бытовая;читатель;нет;0;0;0;0;1;0;0;низкая
A607;2023-10-20;12;Этикет в начальной школе. Практика и теория. Интервью с учителем из школы Нижнего Новгорода.;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/6532486442603874aaa3139e;125780;5053;2328;1932;34;4;9;0.0402;0.4607;0.0146;0.0017;0.0039;прочее;познавательное;узкая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A606;2023-10-22;11;Вежливое «Нет»: как отказать и не разрушить рабочие отношения;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65340ea3e82387673fab2b1c;354144;21688;8695;5764;218;47;48;0.0612;0.4009;0.0251;0.0054;0.0055;работа;польза;бытовая;читатель;нет;0;1;0;0;1;0;0;высокая
A605;2023-10-24;15;Чайный этикет;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/6536dba1ac1eaf2192746f13;40375;2732;1773;1989;95;4;19;0.0677;0.649;0.0536;0.0023;0.0107;стол_еда;польза;бытовая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A604;2023-10-26;10;10 жестов и их значения в разных странах;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/6533ec03dfbed1522e94b94a;605326;31962;24061;26062;416;69;97;0.0528;0.7528;0.0173;0.0029;0.004;отношения_общение;познавательное;бытовая;нейтрально;нет;1;0;0;0;1;0;0;высокая
A603;2023-10-28;10;Этикет и деловой имидж: уроки для будущего;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/653ca6b66a06345c86072afa;18268;327;178;215;38;5;4;0.0179;0.5443;0.2135;0.0281;0.0225;работа;польза;бытовая;нейтрально;нет;0;0;0;0;0;0;0;низкая
A602;2023-10-30;15;Красная помада в деловом макияже;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/653f97cadf966c757041e7b8;62827;2110;1170;1065;73;5;13;0.0336;0.5545;0.0624;0.0043;0.0111;внешний_вид;разъяснение_нормы;бытовая;нейтрально;нет;0;0;0;0;1;1;0;высокая
A601;2023-11-01;14;Тонкости невербального общения: Положение рук;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/6542123b458b143fc2d3a8a2;1835986;58001;44271;48079;904;48;194;0.0316;0.7633;0.0204;0.0011;0.0044;отношения_общение;польза;бытовая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A600;2023-11-03;19;Этикет переписки в групповых рабочих чатах;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/654508c3a5af4a380cd486d8;51028;1910;591;571;38;1;6;0.0374;0.3094;0.0643;0.0017;0.0102;цифровое_общение;польза;бытовая;читатель;нет;0;0;0;0;1;0;0;высокая
A599;2023-11-05;19;Новая подиумная коллекция российского бренда USHATÁVA;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/6547bb44b8dcae73a89d3a23;15139;834;396;165;25;1;3;0.0551;0.4748;0.0631;0.0025;0.0076;внешний_вид;познавательное;узкая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A598;2023-11-07;17;Бранч-фуршет;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/654a4ae388bda60cad86e64f;7646;237;144;165;32;1;2;0.031;0.6076;0.2222;0.0069;0.0139;стол_еда;познавательное;узкая;нейтрально;нет;0;0;0;0;1;0;0;низкая
A597;2023-11-09;18;Воссоздание эпохи: моя работа на Красной площади;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/654cf3a65fbdb06733de78de;9154;288;125;93;39;4;1;0.0315;0.434;0.312;0.032;0.008;прочее;познавательное;узкая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A596;2023-11-11;15;Этикет в поезде: комфортное пространство для всех пассажиров;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/654f6decef61d67414350bb8;1099976;73652;49789;54679;1262;303;194;0.067;0.676;0.0253;0.0061;0.0039;публичные_места_транспорт;польза;бытовая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A595;2023-11-13;19;Новый год: что дарить?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/6551082b11ee265e6c903f9c;117444;1426;835;462;37;2;5;0.0121;0.5856;0.0443;0.0024;0.006;гости_праздники;польза;бытовая;читатель;нет;0;0;1;0;1;0;0;высокая
A594;2023-11-15;19;"Лекция ""Образ Будущего"": Этикет для молодых джентльменов";https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/6554e71e3b3f472e351ad680;8239;226;111;91;30;4;1;0.0274;0.4912;0.2703;0.036;0.009;прочее;познавательное;узкая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A593;2023-11-17;17;Что этикет думает про жевательную резинку?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65576b9c1e1bd141ad1fcddc;22626;4007;2685;2306;112;21;5;0.1771;0.6701;0.0417;0.0078;0.0019;публичные_места_транспорт;разъяснение_нормы;бытовая;нейтрально;нет;0;0;1;0;1;1;0;низкая
A592;2023-11-19;16;Ответы на вопросы: часть 1;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/6559220765e2fc0570db50e8;21497;859;523;507;69;5;7;0.04;0.6088;0.1319;0.0096;0.0134;прочее;польза;бытовая;нейтрально;нет;1;0;0;0;0;0;1;низкая
A591;2023-11-21;13;Как разрешить конфликт, которого вы не хотите?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/655c579c8a74061665ac7e17;1006263;77588;47089;58070;1247;232;293;0.0771;0.6069;0.0265;0.0049;0.0062;отношения_общение;польза;бытовая;читатель;нет;0;0;1;1;0;0;0;высокая
A590;2023-11-23;18;Этикет на распродаже. Как пережить чёрную пятницу?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/655f6532aad3ac18d32a32cc;2220;108;80;69;21;0;0;0.0486;0.7407;;;;публичные_места_транспорт;польза;бытовая;читатель;нет;0;0;1;0;1;0;0;высокая
A589;2023-11-25;12;Цифровой этикет: как сохранить репутацию в социальной сети?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/6561ade565c1165014b369c1;22790;650;365;366;60;3;9;0.0285;0.5615;0.1644;0.0082;0.0247;цифровое_общение;польза;бытовая;читатель;нет;0;0;1;0;1;0;0;высокая
A588;2023-11-27;13;Что делать, если запах коллеги душит?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65645eaa84ef1976903f5a5e;1125944;99629;66488;57393;1197;665;134;0.0885;0.6674;0.018;0.01;0.002;работа;польза;бытовая;читатель;коллеги_начальство;0;1;1;0;1;0;0;высокая
A587;2023-11-29;16;"Знакомство со скульптурой и кино ХХ века. Последние дни, чтобы посетить выставку ""Сопряжение форм""";https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/656738da88cffc7a8f1a60f3;4358;102;47;41;15;1;1;0.0234;0.4608;;;;история_высший_свет;познавательное;узкая;нейтрально;нет;0;0;0;0;1;0;0;высокая
A586;2023-12-01;19;Передарить подарок - дурной тон?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/656a0473f87caa53d311c53f;387211;19516;12031;11245;331;79;25;0.0504;0.6165;0.0275;0.0066;0.0021;гости_праздники;разъяснение_нормы;бытовая;нейтрально;нет;0;1;1;0;1;1;0;высокая
A585;2023-12-03;19;Корпоративные подарки: что уместно дарить на работе?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/656c93a39894eb7840c34401;393040;21787;13967;11581;93;12;27;0.0554;0.6411;0.0067;0.0009;0.0019;работа;польза;бытовая;нейтрально;нет;0;0;1;0;1;0;0;высокая
A584;2023-12-05;20;Давайте перейдём на «ты». Речевой этикет в общении с незнакомыми людьми.;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/656f51e5b7c55f2e680040a0;1644192;67905;42225;48636;1512;466;292;0.0413;0.6218;0.0358;0.011;0.0069;отношения_общение;разъяснение_нормы;бытовая;нейтрально;нет;0;0;0;0;1;1;0;высокая
A583;2023-12-07;19;Ответы на вопросы: часть 2;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/6571ca17b52b316f42dafe14;10091;436;236;341;56;3;3;0.0432;0.5413;0.2373;0.0127;0.0127;прочее;польза;бытовая;нейтрально;нет;1;0;0;0;0;0;1;низкая
A582;2023-12-09;17;Как вести себя в театре? Правила культуры поведения;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65747c014f0304257d9b7448;1714152;62611;44092;66491;1946;609;317;0.0365;0.7042;0.0441;0.0138;0.0072;публичные_места_транспорт;польза;бытовая;читатель;нет;0;0;1;0;1;0;0;высокая
A581;2023-12-11;19;Правила использования тестеров в магазинах косметики;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/657730d36dbe6b1938eb80ff;970562;39773;27868;36840;611;111;96;0.041;0.7007;0.0219;0.004;0.0034;публичные_места_транспорт;польза;бытовая;читатель;нет;0;0;0;0;1;0;0;высокая
A580;2023-12-13;13;Как сохранить лицо во время корпоратива?;https://dzen.ru/media/id/63dd27aac30ab522dcce48b3/65797cf1d536e822e776825d;875035;33209;23110;28651;256;291;79;0.038;0.6959;0.0111;0.0126;0.0034;работа;польза;бытовая;читатель;нет;0;0;1;0;1;0;0;высокая
